cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Joinville,Adhemar Garcia,apartamento,aluguel,26.5,24.8,29.2,10,,agosto/2026
Joinville,América,apartamento,venda,8908.0,6646.1,11201.4,385,4.8,agosto/2026
Joinville,América,apartamento,aluguel,35.6,28.0,44.7,95,4.8,agosto/2026
Joinville,Anita Garibaldi,apartamento,venda,8132.3,6451.6,9736.4,342,5.02,agosto/2026
Joinville,Anita Garibaldi,apartamento,aluguel,34.0,27.4,46.4,91,5.02,agosto/2026
Joinville,Atiradores,apartamento,venda,8867.0,7183.4,11374.5,224,4.4,agosto/2026
Joinville,Atiradores,apartamento,aluguel,32.5,26.8,42.1,46,4.4,agosto/2026
Joinville,Aventureiro,apartamento,venda,5345.2,4791.2,6048.6,32,6.11,agosto/2026
Joinville,Aventureiro,apartamento,aluguel,27.2,23.4,30.3,26,6.11,agosto/2026
Joinville,Boa Vista,apartamento,venda,5862.1,4484.4,6314.7,11,5.98,agosto/2026
Joinville,Boa Vista,apartamento,aluguel,29.2,24.8,34.0,23,5.98,agosto/2026
Joinville,Boehmerwald,apartamento,aluguel,27.3,23.5,30.8,17,,agosto/2026
Joinville,Bom Retiro,apartamento,venda,6028.2,5080.1,7406.3,72,5.95,agosto/2026
Joinville,Bom Retiro,apartamento,aluguel,29.9,26.3,34.5,52,5.95,agosto/2026
Joinville,Bucarein,apartamento,venda,6700.7,5383.4,7883.4,68,5.77,agosto/2026
Joinville,Bucarein,apartamento,aluguel,32.2,27.8,39.8,40,5.77,agosto/2026
Joinville,Centro,apartamento,venda,8591.4,6428.6,11410.8,141,5.04,agosto/2026
Joinville,Centro,apartamento,aluguel,36.1,27.5,48.9,93,5.04,agosto/2026
Joinville,Comasa,apartamento,venda,4713.2,4333.8,5760.3,7,10.16,agosto/2026
Joinville,Comasa,apartamento,aluguel,39.9,35.6,49.2,6,10.16,agosto/2026
Joinville,Costa e Silva,apartamento,venda,6436.1,5322.6,7711.9,205,6.04,agosto/2026
Joinville,Costa e Silva,apartamento,aluguel,32.4,26.8,38.8,96,6.04,agosto/2026
Joinville,Espinheiros,apartamento,venda,6327.6,5654.3,6638.3,6,,agosto/2026
Joinville,Fátima,apartamento,venda,5086.2,4531.1,5721.9,11,,agosto/2026
Joinville,Floresta,apartamento,venda,5662.5,4472.2,6944.0,88,6.44,agosto/2026
Joinville,Floresta,apartamento,aluguel,30.4,26.3,36.5,51,6.44,agosto/2026
Joinville,Glória,apartamento,venda,7714.3,5871.4,10034.1,93,5.44,agosto/2026
Joinville,Glória,apartamento,aluguel,35.0,25.6,48.1,37,5.44,agosto/2026
Joinville,Guanabara,apartamento,venda,6462.9,5575.6,6763.2,24,5.16,agosto/2026
Joinville,Guanabara,apartamento,aluguel,27.8,23.6,34.5,15,5.16,agosto/2026
Joinville,Iririú,apartamento,venda,5033.6,4601.8,6022.4,55,7.22,agosto/2026
Joinville,Iririú,apartamento,aluguel,30.3,24.2,33.9,39,7.22,agosto/2026
Joinville,Itaum,apartamento,venda,5422.3,4898.3,6319.4,17,7.79,agosto/2026
Joinville,Itaum,apartamento,aluguel,35.2,33.8,36.6,8,7.79,agosto/2026
Joinville,Jardim Iririú,apartamento,venda,4677.4,4166.7,4791.7,9,6.54,agosto/2026
Joinville,Jardim Iririú,apartamento,aluguel,25.5,22.5,31.1,13,6.54,agosto/2026
Joinville,Jardim Sofia,apartamento,venda,5444.4,4446.4,5888.9,9,6.04,agosto/2026
Joinville,Jardim Sofia,apartamento,aluguel,27.4,23.8,31.0,6,6.04,agosto/2026
Joinville,Jarivatuba,apartamento,aluguel,25.0,24.0,25.4,5,,agosto/2026
Joinville,João Costa,apartamento,venda,4783.6,4254.1,5509.6,8,7.4,agosto/2026
Joinville,João Costa,apartamento,aluguel,29.5,27.2,33.3,15,7.4,agosto/2026
Joinville,Nova Brasília,apartamento,venda,6557.7,5742.3,7340.1,6,,agosto/2026
Joinville,Paranaguamirim,apartamento,venda,4468.8,4099.5,5211.6,10,7.52,agosto/2026
Joinville,Paranaguamirim,apartamento,aluguel,28.0,25.3,31.9,11,7.52,agosto/2026
Joinville,Parque Guarani,apartamento,venda,4983.3,4741.9,5175.3,7,6.21,agosto/2026
Joinville,Parque Guarani,apartamento,aluguel,25.8,24.5,28.0,7,6.21,agosto/2026
Joinville,Petrópolis,apartamento,venda,5489.8,4982.8,6818.2,9,7.08,agosto/2026
Joinville,Petrópolis,apartamento,aluguel,32.4,29.0,34.1,8,7.08,agosto/2026
Joinville,Pirabeiraba,apartamento,venda,6981.1,5792.9,7369.0,11,4.62,agosto/2026
Joinville,Pirabeiraba,apartamento,aluguel,26.9,22.4,30.8,9,4.62,agosto/2026
Joinville,Saguaçu,apartamento,venda,7311.6,6164.9,8611.3,200,5.04,agosto/2026
Joinville,Saguaçu,apartamento,aluguel,30.7,26.1,37.1,55,5.04,agosto/2026
Joinville,Santa Catarina,apartamento,venda,7122.4,5216.5,7500.0,5,4.85,agosto/2026
Joinville,Santa Catarina,apartamento,aluguel,28.8,26.3,30.5,8,4.85,agosto/2026
Joinville,Santo Antônio,apartamento,venda,7295.5,5767.3,8936.5,231,5.08,agosto/2026
