cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Schroeder,Bracinho,casa,venda,4854.4,4222.1,6481.5,15,,setembro/2026
Schroeder,Braço do Sul,casa,venda,4333.3,2623.0,7142.9,9,,setembro/2026
Schroeder,Centro,casa,venda,4904.0,3157.8,5859.0,56,,setembro/2026
Schroeder,Centro Leste,casa,venda,4545.9,2538.8,4878.3,10,,setembro/2026
Schroeder,Centro Norte,casa,venda,5285.7,3821.7,6443.3,33,,setembro/2026
Schroeder,Rio Hern,casa,venda,4662.9,3095.9,5591.0,31,,setembro/2026
Schroeder,Schroeder I,casa,venda,5161.3,4285.7,6101.7,9,,setembro/2026
Schroeder,Sossego,casa,venda,4911.6,3416.7,5769.6,11,,setembro/2026
Schroeder,Tomaselli,casa,venda,4914.5,4005.7,5059.2,6,,setembro/2026
Schroeder,Centro,apartamento,venda,4546.4,3994.3,4865.6,8,,setembro/2026
Schroeder,Rio Hern,apartamento,venda,4583.3,4025.9,5115.4,5,,setembro/2026
Schroeder,Bracinho,terreno,venda,386.9,182.9,427.9,25,,setembro/2026
Schroeder,Braço do Sul,terreno,venda,258.0,228.8,316.7,6,,setembro/2026
Schroeder,Centro,terreno,venda,634.2,473.6,681.1,65,,setembro/2026
Schroeder,Centro Leste,terreno,venda,459.9,438.9,503.0,17,,setembro/2026
Schroeder,Centro Norte,terreno,venda,542.2,270.0,607.9,38,,setembro/2026
Schroeder,Centro Sul,terreno,venda,664.5,506.8,870.5,9,,setembro/2026
Schroeder,Itoupava-Açu,terreno,venda,137.2,69.6,222.2,5,,setembro/2026
Schroeder,Rio Hern,terreno,venda,568.4,404.8,615.0,19,,setembro/2026
Schroeder,Schroeder I,terreno,venda,491.9,443.5,535.9,22,,setembro/2026
Schroeder,Sossego,terreno,venda,379.0,377.4,470.6,5,,setembro/2026
