cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Araquari,Areias Pequenas,casa,venda,2479.2,2300.0,3140.5,13,,setembro/2026
Araquari,Barra do Itapocú,casa,venda,4000.0,2724.4,5000.0,17,,setembro/2026
Araquari,Centro,casa,venda,5000.0,4148.9,5490.4,15,,setembro/2026
Araquari,Colégio Agrícola,casa,venda,2689.4,2216.8,3556.7,8,9.01,setembro/2026
Araquari,Colégio Agrícola,casa,aluguel,20.2,18.3,24.8,5,9.01,setembro/2026
Araquari,Itinga,casa,venda,4428.6,3666.7,5650.0,85,7.23,setembro/2026
Araquari,Itinga,casa,aluguel,26.7,22.4,31.2,16,7.23,setembro/2026
Araquari,Porto Grande,casa,venda,4174.1,3425.2,4896.9,12,6.73,setembro/2026
Araquari,Porto Grande,casa,aluguel,23.4,22.5,25.0,5,6.73,setembro/2026
Araquari,Volta Redonda,casa,venda,4166.7,2661.7,5041.7,7,5.59,setembro/2026
Araquari,Volta Redonda,casa,aluguel,19.4,18.8,20.0,5,5.59,setembro/2026
Araquari,Centro,apartamento,aluguel,20.8,20.1,23.2,5,,setembro/2026
Araquari,Itinga,apartamento,venda,4287.5,4051.2,5126.5,8,8.76,setembro/2026
Araquari,Itinga,apartamento,aluguel,31.3,25.4,33.3,6,8.76,setembro/2026
Araquari,Areias Pequenas,terreno,venda,331.2,171.7,587.7,18,,setembro/2026
Araquari,Barra do Itapocú,terreno,venda,868.1,610.3,1499.1,39,,setembro/2026
Araquari,Centro,terreno,venda,706.9,455.7,836.4,20,,setembro/2026
Araquari,Colégio Agrícola,terreno,venda,540.2,454.2,671.6,14,,setembro/2026
Araquari,Corveta,terreno,venda,259.1,179.8,436.0,12,,setembro/2026
Araquari,Floresta,terreno,venda,498.6,309.6,621.2,19,,setembro/2026
Araquari,Itapocu,terreno,venda,1498.9,667.8,2045.8,19,,setembro/2026
Araquari,Itinga,terreno,venda,718.4,523.9,934.4,56,,setembro/2026
Araquari,Porto Grande,terreno,venda,387.9,269.2,568.6,27,,setembro/2026
Araquari,Volta Redonda,terreno,venda,480.1,400.0,640.5,22,,setembro/2026
Araquari,Itinga,sala,aluguel,39.9,30.4,44.8,14,,setembro/2026
Araquari,Corveta,galpao,aluguel,24.1,22.1,28.3,14,,setembro/2026
Araquari,Porto Grande,galpao,aluguel,20.0,14.7,22.8,11,,setembro/2026
Araquari,Volta Redonda,galpao,aluguel,19.2,16.7,23.6,7,,setembro/2026
