cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Balneário Piçarras,Armação,apartamento,venda,11205.4,10304.3,12104.5,6,,setembro/2026
Balneário Piçarras,Bairro Itacolomi,apartamento,venda,14502.0,13746.0,16339.7,10,,setembro/2026
Balneário Piçarras,Balneário Piçarras,apartamento,venda,8128.6,5669.7,12898.1,5,,setembro/2026
Balneário Piçarras,Centro,apartamento,venda,13829.3,10917.2,17704.5,339,3.65,setembro/2026
Balneário Piçarras,Centro,apartamento,aluguel,42.1,36.1,50.0,45,3.65,setembro/2026
Balneário Piçarras,Itacolomi,apartamento,venda,13120.4,9298.6,17442.8,360,3.86,setembro/2026
Balneário Piçarras,Itacolomi,apartamento,aluguel,42.2,36.3,52.3,74,3.86,setembro/2026
Balneário Piçarras,Itajubá,apartamento,venda,9899.7,9141.7,11749.4,12,,setembro/2026
Balneário Piçarras,Nossa Senhora da Paz,apartamento,venda,8046.9,7643.2,9273.6,27,5.97,setembro/2026
Balneário Piçarras,Nossa Senhora da Paz,apartamento,aluguel,40.0,28.9,42.9,5,5.97,setembro/2026
Balneário Piçarras,Santo Antônio,apartamento,venda,9307.1,8143.1,10095.6,11,,setembro/2026
Balneário Piçarras,Tabuleiro,apartamento,venda,15975.0,11852.9,16569.3,5,,setembro/2026
Balneário Piçarras,Bela Vista,casa,venda,6507.4,4167.2,6970.9,7,,setembro/2026
Balneário Piçarras,Centro,casa,venda,7450.5,5655.1,9817.0,214,5.15,setembro/2026
Balneário Piçarras,Centro,casa,aluguel,32.0,28.4,41.6,18,5.15,setembro/2026
Balneário Piçarras,Itacolomi,casa,venda,6326.5,4810.7,7933.8,415,6.26,setembro/2026
Balneário Piçarras,Itacolomi,casa,aluguel,33.0,21.5,38.9,29,6.26,setembro/2026
Balneário Piçarras,Itajubá,casa,venda,7083.3,6770.8,9426.6,19,,setembro/2026
Balneário Piçarras,Nossa Senhora da Conceição,casa,venda,4732.8,4137.9,6000.0,13,,setembro/2026
Balneário Piçarras,Nossa Senhora da Paz,casa,venda,6120.5,5269.5,6933.3,74,6.74,setembro/2026
Balneário Piçarras,Nossa Senhora da Paz,casa,aluguel,34.4,32.6,36.2,7,6.74,setembro/2026
Balneário Piçarras,Santo Antônio,casa,venda,5800.0,3436.2,6945.7,23,,setembro/2026
Balneário Piçarras,Bela Vista,terreno,venda,789.7,552.0,1109.8,6,,setembro/2026
Balneário Piçarras,Centro,terreno,venda,2290.1,1666.7,5959.5,35,,setembro/2026
Balneário Piçarras,Itacalomi,terreno,venda,583.3,509.3,844.6,7,,setembro/2026
Balneário Piçarras,Itacolomi,terreno,venda,1380.7,938.7,2012.0,112,,setembro/2026
Balneário Piçarras,Itajubá,terreno,venda,1000.0,942.8,1426.7,5,,setembro/2026
Balneário Piçarras,Nossa Senhora da Conceição,terreno,venda,836.2,770.2,950.0,32,,setembro/2026
Balneário Piçarras,Nossa Senhora da Paz,terreno,venda,1173.5,1063.1,1404.6,40,,setembro/2026
Balneário Piçarras,Santo Antônio,terreno,venda,1091.9,926.0,1390.7,18,,setembro/2026
Balneário Piçarras,Centro,sala,venda,11537.2,6666.7,15735.3,9,7.73,setembro/2026
Balneário Piçarras,Centro,sala,aluguel,74.3,52.8,87.1,26,7.73,setembro/2026
Balneário Piçarras,Itacolomi,sala,venda,14138.5,13097.6,18266.2,22,7.29,setembro/2026
Balneário Piçarras,Itacolomi,sala,aluguel,85.9,76.3,106.9,7,7.29,setembro/2026
