cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Porto Alegre,Aberta dos Morros,casa,venda,4110.3,3280.4,5225.8,111,7.42,setembro/2026
Porto Alegre,Aberta dos Morros,casa,aluguel,25.4,15.8,30.3,28,7.42,setembro/2026
Porto Alegre,Agronomia,casa,venda,4711.7,3403.2,6310.6,20,,setembro/2026
Porto Alegre,Anchieta,casa,venda,4333.3,2130.8,5500.0,7,,setembro/2026
Porto Alegre,Arquipélago,casa,venda,3531.2,2390.6,6361.1,6,,setembro/2026
Porto Alegre,Auxiliadora,casa,venda,5970.8,3874.3,7028.5,16,7.4,setembro/2026
Porto Alegre,Auxiliadora,casa,aluguel,36.8,35.7,40.3,8,7.4,setembro/2026
Porto Alegre,Azenha,casa,venda,3969.5,3768.1,5084.7,13,8.19,setembro/2026
Porto Alegre,Azenha,casa,aluguel,27.1,20.2,34.3,6,8.19,setembro/2026
Porto Alegre,Bela Vista,casa,venda,5859.8,4581.6,9459.4,27,6.82,setembro/2026
Porto Alegre,Bela Vista,casa,aluguel,33.3,27.3,36.4,11,6.82,setembro/2026
Porto Alegre,Belém Novo,casa,venda,6666.7,4191.7,9837.7,46,4.01,setembro/2026
Porto Alegre,Belém Novo,casa,aluguel,22.3,17.7,46.7,9,4.01,setembro/2026
Porto Alegre,Belém Velho,casa,venda,3111.1,1862.1,5272.7,13,8.49,setembro/2026
Porto Alegre,Belém Velho,casa,aluguel,22.0,16.5,24.8,5,8.49,setembro/2026
Porto Alegre,Boa Vista,casa,venda,5839.6,4634.9,7630.3,28,6.84,setembro/2026
Porto Alegre,Boa Vista,casa,aluguel,33.3,22.8,50.0,13,6.84,setembro/2026
Porto Alegre,Bom Fim,casa,venda,4905.9,4083.3,10250.0,9,,setembro/2026
Porto Alegre,Bom Jesus,casa,venda,3250.0,2840.4,4498.2,11,,setembro/2026
Porto Alegre,Camaquã,casa,venda,3902.4,3240.3,4651.4,35,7.96,setembro/2026
Porto Alegre,Camaquã,casa,aluguel,25.9,19.5,31.8,20,7.96,setembro/2026
Porto Alegre,Campo Novo,casa,venda,4712.2,3018.2,5350.5,32,6.24,setembro/2026
Porto Alegre,Campo Novo,casa,aluguel,24.5,20.1,28.4,22,6.24,setembro/2026
Porto Alegre,Cascata,casa,venda,2311.7,1657.7,3440.3,30,,setembro/2026
Porto Alegre,Cavalhada,casa,venda,3954.6,3259.5,4924.7,48,7.4,setembro/2026
Porto Alegre,Cavalhada,casa,aluguel,24.4,19.8,41.2,14,7.4,setembro/2026
Porto Alegre,Centro,casa,venda,4348.7,3964.5,5605.7,8,,setembro/2026
Porto Alegre,Centro Histórico,casa,venda,5172.7,4190.9,6800.1,12,9.14,setembro/2026
Porto Alegre,Centro Histórico,casa,aluguel,39.4,17.6,50.0,9,9.14,setembro/2026
Porto Alegre,Chácara das Pedras,casa,venda,6016.0,4703.8,7782.0,72,8.86,setembro/2026
Porto Alegre,Chácara das Pedras,casa,aluguel,44.4,31.4,61.7,21,8.86,setembro/2026
Porto Alegre,Chapéu do Sol,casa,venda,7716.7,6409.1,7800.0,5,,setembro/2026
Porto Alegre,Cidade Baixa,casa,venda,5384.6,4658.3,6666.7,13,6.17,setembro/2026
Porto Alegre,Cidade Baixa,casa,aluguel,27.7,24.8,39.9,6,6.17,setembro/2026
Porto Alegre,Coronel Aparício Borges,casa,venda,3243.2,2503.3,4000.0,17,7.1,setembro/2026
Porto Alegre,Coronel Aparício Borges,casa,aluguel,19.2,16.7,20.9,6,7.1,setembro/2026
Porto Alegre,Costa e Silva,casa,venda,2798.7,2081.4,4152.9,32,,setembro/2026
Porto Alegre,Cristal,casa,venda,4297.0,3326.7,5603.4,41,6.76,setembro/2026
Porto Alegre,Cristal,casa,aluguel,24.2,21.3,33.5,8,6.76,setembro/2026
Porto Alegre,Cristo Redentor,casa,venda,3826.9,3218.6,4480.2,16,8.59,setembro/2026
Porto Alegre,Cristo Redentor,casa,aluguel,27.4,19.8,40.2,7,8.59,setembro/2026
Porto Alegre,Ecoville,casa,venda,6146.9,5737.9,7657.3,40,8.41,setembro/2026
Porto Alegre,Ecoville,casa,aluguel,43.1,32.1,47.7,9,8.41,setembro/2026
Porto Alegre,Espírito Santo,casa,venda,3772.7,3059.8,4158.0,47,8.08,setembro/2026
Porto Alegre,Espírito Santo,casa,aluguel,25.4,18.8,31.1,28,8.08,setembro/2026
Porto Alegre,Farrapos,casa,venda,2804.1,1823.6,3381.2,18,7.83,setembro/2026
Porto Alegre,Farrapos,casa,aluguel,18.3,14.4,21.2,6,7.83,setembro/2026
Porto Alegre,Farroupilha,casa,venda,4726.7,4404.3,6041.1,8,,setembro/2026
Porto Alegre,Floresta,casa,venda,4129.2,2927.9,5743.0,22,7.03,setembro/2026
Porto Alegre,Floresta,casa,aluguel,24.2,19.8,31.5,11,7.03,setembro/2026
Porto Alegre,Glória,casa,venda,3149.4,2123.3,4349.4,44,9.14,setembro/2026
Porto Alegre,Glória,casa,aluguel,24.0,20.8,28.6,9,9.14,setembro/2026
Porto Alegre,Guarujá,casa,venda,3415.0,3157.7,4107.8,44,7.06,setembro/2026
Porto Alegre,Guarujá,casa,aluguel,20.1,16.5,29.7,18,7.06,setembro/2026
Porto Alegre,Higienópolis,casa,venda,4981.1,3586.2,7375.4,14,8.84,setembro/2026
